# upload_ID,upload_RA,upload_Dec,distance,ra,dec,jAperMag3,jAperMag3Err,hAperMag3,hAperMag3Err,ksAperMag3,ksAperMag3Err
#,,,,,,,,,,,
# Results of Query: Database VHSDR6 20/02/21 04:33,,,,,,,,,,,
# select #upload.*,#proxtab.distance,ra,dec,jAperMag3,jAperMag3Err, ,,,,,
# hAperMag3,hAperMag3Err,ksAperMag3,ksAperMag3Err from  #upload left,,,,,,,,
# outer join #proxtab on #upload.upload_id=upid left outer join ,,,,,,,,,,,
# vhsSource on vhsSource.sourceID=archiveID   order by ,,,,,,,,,,,
# #upload.upload_id,,,,,,,,,,,
# CROSSID radius: 10.0,,,,,,,,,,,
# CROSSID NEARBY or NEAREST 0 or 1: 0,,,,,,,,,,,
# CROSSID where: ,,,,,,,,,,,
# Column Headers at start of file AND below,,,,,,,,,,,
#,,,,,,,,,,,
# upload_ID,upload_RA,upload_Dec,distance,ra,dec,jAperMag3,jAperMag3Err,hAperMag3,hAperMag3Err,ksAperMag3,ksAperMag3Err
66,2.9418915,-47.2185277,0.6558632,2.9416266,-47.2184990,19.351482,0.115344,19.785004,0.340464,-9.999995E+08,-9.999995E+08
67,2.6245158,45.9281353,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00
68,1.6179985,46.5192859,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00
69,3.3092405,-50.3534861,0.4888716,3.3090283,-50.3534963,18.488580,0.053325,17.602116,0.050918,16.829288,0.047802
69,3.3092405,-50.3534861,0.5605482,3.3089972,-50.3534977,18.627480,0.065543,17.563951,0.054239,16.776460,0.050932
70,2.0226604,-51.4438538,0.1927972,2.0226781,-51.4438014,15.340674,0.003747,-9.999995E+08,-9.999995E+08,14.537587,0.006852
70,2.0226604,-51.4438538,0.1482724,2.0226799,-51.4438144,15.315659,0.003244,-9.999995E+08,-9.999995E+08,14.525470,0.005454
70,2.0226604,-51.4438538,8.2582112,2.0215301,-51.4460369,21.192263,0.291764,-9.999995E+08,-9.999995E+08,-9.999995E+08,-9.999995E+08
70,2.0226604,-51.4438538,0.1889533,2.0227015,-51.4438080,15.326638,0.003804,-9.999995E+08,-9.999995E+08,14.534482,0.007116
71,1.3358821,-50.9359952,0.1742250,1.3358084,-50.9360088,16.780846,0.012107,16.232103,0.016016,15.766290,0.020459
