RA,Dec,PmrA,PMDEC,sigPMRA,sigPMDEC,w1mpro_pm,w1sigmpro_pm,w2mpro_pm,w2sigmpro_pm,2MASSRA,2MASSDEC,j_m,j_msigcom,h_m,h_msigcom,k_m,k_msigcom,
2.4943311,-37.7282713,0.07965,-0.33187,0.0363,0.0348,16.607,0.036,16.194,0.068,,,,,,,,,
1.810304,37.7257047,0.11865,0.00468,0.0093,0.008,14.28,0.017,14.128,0.016,1.809738,37.725609,15.223,0.0488,14.673,0.054,14.463,0.0705,
1.3246513,37.6219834,1.03898,-0.28472,0.0113,0.0114,16.513,0.04,13.297,0.013,,,,,,,,,
1.3244294,37.6219468,1.38799,-0.45645,0.0245,0.0222,17.728,0.095,14.011,0.018,,,,,,,,,
1.7322744,-42.7572143,0.14855,-0.01638,0.0095,0.0084,14.357,0.014,14.203,0.016,1.731712,-42.757301,15.171,0.0414,14.685,0.0633,14.345,0.0767,
1.1301632,-45.9685126,0.04129,-0.09994,0.0129,0.0117,15.081,0.017,14.765,0.022,,,,,,,,,
2.9419938,-47.2185277,0.25011,0.06818,0.074,0.0748,18.749,0.195,15.988,0.052,,,,,,,,,
2.6245688,45.9281353,0.13263,-0.06006,0.0133,0.0132,14.856,0.057,14.28,0.042,2.623747,45.928768,15.133,0.0416,14.799,0.0553,14.738,0.0972,
1.6180452,46.5192859,0.11576,0.01479,0.0163,0.0145,15.562,0.019,15.547,0.036,1.618051,46.51944,16.837,0.1752,15.766,0.1678,15.626,0.2112,
3.3093304,-50.3534861,0.20639,0.0241,0.0257,0.0237,16.058,0.025,15.916,0.055,,,,,,,,,
2.0226381,-51.4438538,-0.05005,-0.04881,0.0085,0.0077,14.292,0.013,14.115,0.014,2.023215,-51.443645,15.333,0.0639,14.783,0.0856,14.515,0.1021,
1.3359489,-50.9359952,0.15154,0.00841,0.0173,0.0153,15.468,0.02,15.337,0.032,1.33537,-50.936222,16.595,0.1348,16.104,0.2347,15.796,,
2.0879202,52.0685204,0.01773,-0.25805,0.0231,0.022,16.355,0.04,14.915,0.027,2.087878,52.069386,16.69,0.1506,16.244,0.2331,16.222,0.3492,
1.3910376,-54.7446775,0.12538,-0.00658,0.0087,0.0079,14.336,0.014,14.172,0.014,1.390374,-54.744755,15.259,0.0402,14.688,0.0633,14.42,0.0892,
3.5003433,-56.5311816,0.16117,-0.12522,0.0151,0.0128,15.361,0.016,15.18,0.026,,,,,,,,,
1.5207399,-59.6854941,0.11258,-0.05044,0.0076,0.0068,14.233,0.013,14.051,0.013,1.520061,-59.685295,15.158,0.0453,14.469,0.054,14.278,0.0654,
2.8750395,59.1394271,-0.90326,-1.16884,0.0024,0.0022,8.917,0.008,8.701,0.005,2.882605,59.144455,9.945,0.0225,9.393,0.0264,9.093,0.0213,
2.8749899,59.1394054,-1.17845,-1.51512,0.0064,0.0058,9.541,0.011,9.263,0.008,,,,,,,,,
3.6969208,-1.9083289,-0.14958,-0.63044,0.0858,0.1006,19.108,0.342,16.003,0.068,,,,,,,,,
2.4427284,-4.0860344,0.109,-0.07218,0.0145,0.013,14.933,0.017,14.811,0.026,2.442405,-4.085824,15.836,0.0604,15.292,0.0764,15.003,0.1054,
3.4493603,-4.9609554,0,0,0.0747,0.066,18.187,,17.436,,,,,,,,,,
3.7109847,-8.6401579,1.50481,-0.25909,0.0053,0.005,13.436,0.011,13.22,0.011,3.704981,-8.639111,14.469,0.0284,13.95,0.0272,13.769,0.0452,
3.7112808,-8.6401385,1.86359,-0.30666,0.0097,0.0092,14.165,0.012,14.045,0.015,,,,,,,,,
3.7086867,-8.6411676,-0.33746,-0.88029,0.2424,0.2544,18.935,0.333,18.033,0.415,,,,,,,,,
1.615363,-60.4642282,0.07812,-0.07731,0.007,0.0067,14.207,0.013,14.029,0.013,1.615284,-60.464092,15.155,0.0473,14.485,0.0604,14.323,0.062,
2.4724349,-60.7879247,0.10948,-0.05502,0.0074,0.0066,14.214,0.013,14.029,0.013,2.471859,-60.787743,15.184,0.0453,14.643,0.0519,14.344,0.0653,
2.5351653,2.3035753,0.29775,-0.04761,0.0161,0.0159,15.244,0.022,14.936,0.033,2.534134,2.303791,16.428,0.1238,15.912,0.1617,15.638,0.1811,
2.7537968,4.3384923,0.23753,-0.75419,0.0151,0.0143,14.654,0.019,14.459,0.022,,,,,,,,,
3.4785547,6.5792767,1.29723,-0.62676,0.0443,0.0444,17.949,0.113,15.225,0.033,,,,,,,,,
2.3171302,9.0050414,0,0,0.0401,0.026,18.27,,17.429,,,,,,,,,,
2.4255221,-14.210843,0.19618,-0.03829,0.0106,0.01,14.684,0.016,14.506,0.02,2.424626,-14.210694,15.86,0.0745,15.132,0.091,14.942,0.1177,
3.5508606,-13.1866811,-0.55978,-0.73768,0.0131,0.0105,14.486,0.016,14.596,0.032,3.553528,-13.18332,14.813,0.0362,14.549,0.0572,14.628,0.0824,
3.5519915,-13.1853965,0.09875,0.03296,0.1679,0.1626,19.442,,17.801,,,,,,,,,,
4.6081826,-62.2713929,0.20668,-0.03083,0.0227,0.0198,16.009,0.023,15.848,0.046,,,,,,,,,
3.7197669,13.9084253,0.24183,-0.16363,0.0232,0.0237,15.886,0.025,15.543,0.044,,,,,,,,,
3.7886523,15.4989071,0.11737,-0.0724,0.0108,0.0103,14.695,0.016,14.534,0.02,3.788191,15.499162,15.574,0.0525,15.19,0.0664,14.881,0.0993,
2.7714363,18.9058217,0.13223,-0.0752,0.0085,0.0083,14.204,0.014,14.029,0.015,2.770847,18.906115,15.135,0.0424,14.628,0.044,14.307,0.0765,
3.1444051,21.7051352,0.19849,-0.29682,0.0038,0.0035,8.722,0.013,8.558,0.008,3.14351,21.706444,9.662,0.0201,9.098,0.0206,8.863,0.0209,
1.7451642,-63.4692827,0.11074,-0.00223,0.008,0.0071,14.234,0.014,14.141,0.014,1.744854,-63.469296,15.291,0.0596,14.668,0.0665,14.504,0.0903,
2.8221384,-63.7018264,0.3713,-0.36019,0.0299,0.0271,15.786,0.033,15.503,0.042,,,,,,,,,
2.4634946,-63.442446,0.11643,-0.08603,0.0297,0.0267,16.126,0.033,15.659,0.04,2.462382,-63.443012,15.33,0.0538,15.06,0.0917,15.048,0.1396,
3.2431081,23.7966415,0.12086,-0.02272,0.0093,0.0087,14.454,0.015,14.289,0.016,3.242641,23.796631,15.405,0.0468,14.757,0.0613,14.514,0.0794,
4.1967227,-30.2674242,0.14124,-0.00116,0.0166,0.0164,15.243,0.02,15.069,0.031,4.196346,-30.267435,16.136,0.1178,15.443,,15.12,,
2.7580299,-65.2546277,0.13954,-0.03701,0.0133,0.0115,14.951,0.016,14.769,0.02,2.757101,-65.254539,16.107,0.0874,15.502,0.1067,15.06,0.127,
3.5422308,-32.469727,0.16227,-0.14309,0.0132,0.0121,15.027,0.017,14.825,0.023,3.541348,-32.469105,16.35,0.1308,16.007,0.2264,15.169,0.1798,
2.963206,31.2224238,-0.02096,-0.02135,0.0427,0.0419,17.592,0.083,15.138,0.032,,,,,,,,,
3.5903568,-36.4584287,0.03858,-0.18238,0.0159,0.0148,15.437,0.023,14.962,0.026,3.590507,-36.457771,15.764,0.0733,15.326,0.0921,14.959,0.1249,
4.3114124,-40.9102684,-0.12833,1.0622,0.1381,0.1348,17.945,0.117,16.832,0.136,,,,,,,,,
4.4119869,-68.596534,0.06251,-0.10247,0.0082,0.0072,14.333,0.014,14.135,0.014,4.411577,-68.596176,15.455,0.0527,14.803,0.0732,14.704,0.095,
3.8655282,-42.8186384,0.16356,0.06879,0.0119,0.0109,14.915,0.016,14.694,0.021,3.864702,-42.818974,16.482,0.1354,15.494,0.1226,15.072,0.1582,
4.1451826,-42.9820779,0.18909,0.1009,0.0295,0.0271,16.268,0.028,16.054,0.062,,,,,,,,,
3.4391516,-69.0656749,0.11279,-0.00979,0.0081,0.0068,14.291,0.014,14.08,0.013,3.438082,-69.065643,15.13,0.0363,14.684,0.0437,14.491,0.068,
3.7754656,-46.255762,0.44128,-0.68529,0.0173,0.0179,17.402,0.071,14.262,0.016,,,,,,,,,
4.5538683,-47.5032837,0.0554,-0.25136,0.0249,0.0242,16.482,0.032,15.051,0.025,,,,,,,,,
3.7401794,-48.736108,0,0,0.0675,0.0624,18.156,,17.793,,,,,,,,,,
3.7666724,47.9032093,0.01312,-0.29211,0.0457,0.0461,18.288,0.144,15.497,0.036,,,,,,,,,
4.8628301,4.8416824,0,0,0.0637,0.0563,17.309,,16.816,,,,,,,,,,
4.4166032,-10.775913,-0.0202,-1.15739,0.0022,0.0022,10.325,0.01,10.164,0.008,4.416726,-10.770994,11.046,0.0256,10.563,0.0239,10.366,0.0211,
3.8943652,-10.7047311,0.13904,0.00315,0.0113,0.0122,14.731,0.017,14.607,0.021,3.894038,-10.704824,15.687,0.0571,15.119,0.0683,14.778,0.0892,
5.1238312,-15.5909808,0.18615,0.00643,0.0131,0.0125,14.941,0.016,14.643,0.023,5.123173,-15.591135,16.343,0.1092,15.741,0.1288,15.157,0.1317,
4.0703908,19.8609643,0.92105,-1.08259,0.006,0.0069,8.658,0.012,8.44,0.008,,,,,,,,,
4.8982778,19.5067721,0.11472,-0.00129,0.0097,0.009,14.421,0.015,14.296,0.018,4.897847,19.506643,15.428,0.0523,14.785,0.0609,14.825,0.1105,
4.184126,23.0741853,0.83773,0.10101,0.0199,0.0194,15.292,0.021,14.6,0.022,,,,,,,,,
5.9462926,-53.2134118,0.10411,0.00369,0.0081,0.0075,14.204,0.014,14.046,0.014,5.945746,-53.213474,15.135,0.0528,14.558,0.06,14.517,0.0866,
5.4467347,26.675421,-0.08599,-0.33296,0.0236,0.0234,15.711,0.023,15.708,0.049,5.447257,26.676968,16.184,0.089,15.909,0.1523,15.806,,
5.7314517,-28.3493278,0.11265,-0.03982,0.0107,0.0103,14.546,0.015,14.381,0.019,5.731101,-28.349239,15.53,0.0527,14.934,0.0659,14.751,0.0803,
6.2760711,-54.599709,0.11323,0.00533,0.0084,0.0071,14.199,0.013,14.029,0.013,6.275443,-54.599773,15.196,0.0536,14.595,0.0597,14.36,0.0866,
5.0032709,-32.4033093,0.12657,0.00781,0.0096,0.0092,14.402,0.016,14.304,0.018,5.00282,-32.403492,15.32,0.0466,14.937,0.0766,14.673,0.094,
5.5036246,-33.7012645,0.12153,-0.04837,0.0093,0.0084,14.223,0.013,14.119,0.017,5.503211,-33.701118,15.311,0.046,14.646,0.0544,14.453,0.0809,
5.6948569,-33.7076166,0.1423,-0.03885,0.0112,0.0104,14.619,0.016,14.539,0.021,5.69435,-33.707573,15.552,0.057,14.843,0.0714,14.78,0.1156,
4.6526607,-56.0092893,-0.00451,-0.07829,0.0079,0.007,14.18,0.013,14.014,0.013,4.652917,-56.009022,15.157,0.0422,14.557,0.0536,14.305,0.0685,
5.1280628,33.081402,1.15108,-0.92627,0.0021,0.002,9.211,0.01,8.999,0.006,5.121767,33.085609,10.284,0.0213,9.691,0.0222,9.33,0.0184,
5.1281852,33.0814025,1.59057,-1.16039,0.0103,0.0098,11.736,0.042,12.406,0.052,,,,,,,,,
5.1628898,-35.0237538,0.10914,-0.04404,0.0095,0.0082,14.277,0.015,14.151,0.016,5.162499,-35.023708,15.171,0.0375,14.74,0.0678,14.446,0.0685,
6.425002,-56.8199028,0.12786,0.03269,0.0076,0.0073,14.143,0.013,13.998,0.014,6.424304,-56.82003,15.023,0.0581,14.428,0.0683,14.186,0.0664,
5.3597695,36.6654653,0.34976,-0.00169,0.0141,0.013,15.131,0.024,14.752,0.033,,,,,,,,,
6.0596016,-40.5149267,0.1745,0.01691,0.0126,0.0106,14.999,0.015,14.596,0.019,,,,,,,,,
