,upload_RA,upload_Dec,distance,ra,dec,jAperMag3,jAperMag3Err,hAperMag3,hAperMag3Err,ksAperMag3,ksAperMag3Err,RA,Dec,PmrA,PMDEC,sigPMRA,sigPMDEC,w1mpro_pm,w1sigmpro_pm,w2mpro_pm,w2sigmpro_pm
31,2.8167301,-79.8116072,8.824984800000003,2.8079122000000005,-79.8134985,19.943447,0.2397050000000001,-999999500.0,-999999500.0,-999999500.0,-999999500.0,2.8169396,-79.8116072,0.13343,-0.03247,0.0085,0.0078,14.298,0.016,14.127,0.013999999999999999
31,2.8167301,-79.8116072,0.1740499,2.8169338,-79.8116394,-999999500.0,-999999500.0,-999999500.0,-999999500.0,14.54036,0.009058,2.8169396,-79.8116072,0.13343,-0.03247,0.0085,0.0078,14.298,0.016,14.127,0.013999999999999999
31,2.8167301,-79.8116072,8.7033485,2.8078478,-79.8134448,-999999500.0,-999999500.0,-999999500.0,-999999500.0,-999999500.0,-999999500.0,2.8169396,-79.8116072,0.13343,-0.03247,0.0085,0.0078,14.298,0.016,14.127,0.013999999999999999
32,1.7411916,-81.1652272,9.0837368,1.7395224999999999,-81.162717,-999999500.0,-999999500.0,-999999500.0,-999999500.0,-999999500.0,-999999500.0,1.7414732,-81.1652272,0.15569000000000002,-0.026969999999999997,0.0139,0.0125,15.377,0.018000000000000002,15.253,0.028999999999999998
32,1.7411916,-81.1652272,0.2155326,1.7415813999999998,-81.1652268,16.307526,0.012981999999999999,-999999500.0,-999999500.0,15.612497,0.028843,1.7414732,-81.1652272,0.15569000000000002,-0.026969999999999997,0.0139,0.0125,15.377,0.018000000000000002,15.253,0.028999999999999998
33,4.591337599999999,-82.1203964,6.233706,4.5974077000000015,-82.11887790000002,19.124996,0.137736,-999999500.0,-999999500.0,-999999500.0,-999999500.0,4.591337599999999,-82.1203964,0.0,0.0,0.0342,0.0073,17.996,,17.479,
33,4.591337599999999,-82.1203964,8.550183500000001,4.6085543,-82.1206613,12.409458,0.000837,-999999500.0,-999999500.0,12.049149,0.00161,4.591337599999999,-82.1203964,0.0,0.0,0.0342,0.0073,17.996,,17.479,
33,4.591337599999999,-82.1203964,9.4404524,4.5954896,-82.1229562,19.640856,0.22083899999999998,-999999500.0,-999999500.0,18.089441,0.251884,4.591337599999999,-82.1203964,0.0,0.0,0.0342,0.0073,17.996,,17.479,
33,4.591337599999999,-82.1203964,8.4525678,4.608214,-82.1207967,-999999500.0,-999999500.0,-999999500.0,-999999500.0,13.183948000000001,0.0034990000000000004,4.591337599999999,-82.1203964,0.0,0.0,0.0342,0.0073,17.996,,17.479,
33,4.591337599999999,-82.1203964,8.5875587,4.608630799999999,-82.1206609,11.766715,0.0007099999999999999,-999999500.0,-999999500.0,10.970260000000001,0.001188,4.591337599999999,-82.1203964,0.0,0.0,0.0342,0.0073,17.996,,17.479,
