# upload_ID,upload_RA,upload_Dec,distance,ra,dec,jAperMag3,jAperMag3Err
#,,,,,,,
# Results of Query: Database UHSDR1 16/02/21 03:40,,,,,,,
# select #upload.*,#proxtab.distance,ra,dec,jAperMag3,jAperMag3Err from,,
#  #upload left outer join #proxtab on #upload.upload_id=upid left ,,,,,,,
# outer join uhsSource on uhsSource.sourceID=archiveID   order by ,,,,,,,
# #upload.upload_id,,,,,,,
# CROSSID radius: 10.0,,,,,,,
# CROSSID NEARBY or NEAREST 0 or 1: 0,,,,,,,
# CROSSID where: ,,,,,,,
# Column Headers at start of file AND below,,,,,,,
#,,,,,,,
# upload_ID,upload_RA,upload_Dec,distance,ra,dec,jAperMag3,jAperMag3Err
115,3.7666670,47.9032093,8.9053222,3.7651449,47.9054628,15.563516,0.007982
115,3.7666670,47.9032093,4.5874898,3.7673645,47.9043947,19.420967,0.191940
115,3.7666670,47.9032093,0.4363220,3.7664995,47.9032549,18.969358,0.127714
116,4.8628301,4.8416824,0E+00,0E+00,0E+00,0E+00,0E+00
117,4.4166089,-10.7759130,0E+00,0E+00,0E+00,0E+00,0E+00
118,3.8943259,-10.7047311,0E+00,0E+00,0E+00,0E+00,0E+00
119,5.1237775,-15.5909808,0E+00,0E+00,0E+00,0E+00,0E+00
120,4.0701188,19.8609643,1.4769154,4.0700033,19.8613599,10.523434,0.000561
121,4.8982440,19.5067721,0.1988448,4.8982488,19.5067171,15.329132,0.006701
122,4.1838731,23.0741853,1.1363713,4.1835397,23.0741106,16.566072,0.017574
123,5.9462443,-53.2134118,0E+00,0E+00,0E+00,0E+00,0E+00
124,5.4467614,26.6754210,0.5097670,5.4468136,26.6755547,16.179855,0.013447
125,5.7314161,-28.3493278,0E+00,0E+00,0E+00,0E+00,0E+00
126,6.2760168,-54.5997090,0E+00,0E+00,0E+00,0E+00,0E+00
127,5.0032293,-32.4033093,0E+00,0E+00,0E+00,0E+00,0E+00
128,5.5035840,-33.7012645,0E+00,0E+00,0E+00,0E+00,0E+00
129,5.6948094,-33.7076166,0E+00,0E+00,0E+00,0E+00,0E+00
130,4.6526629,-56.0092893,0E+00,0E+00,0E+00,0E+00,0E+00
131,5.1276812,33.0814020,9.9597471,5.1248015,33.0827556,19.877398,0.203024
131,5.1276812,33.0814020,2.0861517,5.1273641,33.0819170,10.528052,0.000574
131,5.1276812,33.0814020,5.5596441,5.1292132,33.0822606,16.902810,0.016762
131,5.1276812,33.0814020,6.3704988,5.1297917,33.0814675,19.685497,0.170974
132,5.1276579,33.0814025,9.8976276,5.1248015,33.0827556,19.877398,0.203024
132,5.1276579,33.0814025,2.0532567,5.1273641,33.0819170,10.528052,0.000574
