upload_ID,upload_RA,upload_Dec,distance,ra,dec,jAperMag3,jAperMag3Err,hAperMag3,hAperMag3Err,ksAperMag3,ksAperMag3Err,RA,Dec,PmrA,PMDEC,sigPMRA,sigPMDEC,w1mpro_pm,w1sigmpro_pm,w2mpro_pm,w2sigmpro_pm
2849,155.19062250000005,-32.615357,0.0345867,155.19061619999997,-32.615349,17.212526,0.018402,-999999500.0,-999999500.0,15.488804,0.019979,155.190564,-32.615357,-0.17749,0.032560000000000006,0.0108,0.0129,14.886,0.016,14.59,0.021
2850,154.9455355,-34.0387619,0.6028634,154.9457023,-34.0388565,15.799793,0.007131,-999999500.0,-999999500.0,15.461075,0.021331,154.94541730000003,-34.0387619,-0.35267,0.14259000000000002,0.017,0.0195,15.458,0.02,15.409,0.038
2851,154.66109609999995,22.1146287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.6611212,22.114628699999997,0.08373,0.13778,0.2205,0.2612,19.271,0.523,18.133,
2852,154.7585064,29.8675497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.7585415,29.867549699999998,0.10973,-0.24019,0.0511,0.0567,17.878,0.108,15.637,0.046
2853,154.2878154,30.4676644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.2876092,30.467664399999997,-0.63986,-0.22449,0.111,0.1232,18.367,,17.76,
2854,154.42926880000005,33.5922752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.4292404,33.5922752,-0.08503,-0.32267,0.0296,0.0314,16.168,0.029,15.938,0.054000000000000006
2855,154.325977,38.8567551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.3259627,38.8567551,-0.0402,-0.10624,0.0123,0.0128,15.007,0.017,14.871,0.026
2856,155.71346169999995,39.0700124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.7133041,39.0700124,-0.44039,-0.28004,0.0332,0.0382,16.382,0.031,16.697,0.13
2857,153.3382693,69.70036479999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.3382877,69.70036479999999,0.02297,-0.17917,0.0155,0.0181,15.724,0.019,15.4,0.032
2858,154.55490890000004,-14.450560500000002,0.3700583,154.5550019,-14.45061,15.364349,0.00678,14.876601,0.008034999999999999,14.67186,0.012431,154.55485969999995,-14.450560500000002,-0.17169,0.0479,0.01,0.0114,14.567,0.016,14.438,0.02
2859,154.9620108,4.8275407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.9619299,4.8275407,-0.29038,-0.35600000000000004,0.0136,0.0155,15.050999999999998,0.017,14.831,0.027000000000000003
2860,155.5136773,14.9821791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.5136891,14.9821791,0.04117,-0.11384,0.011,0.0126,14.718,0.017,14.513,0.022
2861,155.505291,14.9223372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.5051328,14.922337200000001,-0.5503899999999999,-0.08784,0.0737,0.0762,19.486,,15.765999999999998,0.058
2862,154.8362697,20.8814166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.8362766,20.8814166,0.02324,-0.20097,0.0295,0.0328,16.859,0.048,14.938,0.027000000000000003
2863,154.5043833,46.93075220000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.5043396,46.93075220000001,-0.10731,-0.01263,0.0074,0.0082,14.189,0.013,14.034,0.013
2864,155.1577217,47.2844735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.1577482,47.2844735,0.06475,-0.16065,0.0171,0.0196,15.6,0.02,15.336,0.036000000000000004
2865,154.2395376,25.5001603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.23950280000003,25.5001603,-0.11321,-0.08388,0.0108,0.0127,14.778,0.017,14.586,0.023
2866,154.53356269999995,-24.7673393,1.3273378999999998,154.5335418,-24.76697110000001,17.399601,0.032006,-999999500.0,-999999500.0,18.012423000000005,0.248764,154.5335785,-24.7673393,0.051570000000000005,-0.87156,0.0208,0.0221,17.326,0.078,14.107,0.02
2867,154.5335115,-24.76687380000001,0.3639459,154.5335418,-24.76697110000001,17.399601,0.032006,-999999500.0,-999999500.0,18.012423000000005,0.248764,154.53355259999995,-24.766873800000003,0.13432,-1.09532,0.0537,0.0551,18.392,0.177,15.208,0.037000000000000005
2868,155.8048443,-31.8569723,0.7341393,155.8048886,-31.857172700000003,18.192041,0.050209,-999999500.0,-999999500.0,-999999500.0,-999999500.0,155.80475180000005,-31.8569723,-0.28282,0.31075,0.056,0.0656,18.463,0.17600000000000002,15.619000000000002,0.04
2869,155.2523517,48.1981487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.25231090000003,48.198148700000004,-0.09784,-0.0745,0.006999999999999999,0.0079,14.162,0.013,14.02,0.013
2870,155.4276687,10.390789300000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.42763069999995,10.390789300000002,-0.13454000000000002,-0.3064,0.0315,0.035,16.176,0.031,16.11,0.078
2871,155.09984519999998,18.239378100000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.09981100000005,18.239378100000003,-0.11677,-0.08463999999999999,0.0093,0.0107,14.472,0.015,14.28,0.02
2872,155.6951132,58.42618929999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.69449540000005,58.42618929999999,-1.16446,-1.05074,0.0033,0.0049,12.458,0.009000000000000001,12.101,0.006999999999999999
2873,155.69492409999995,58.4259978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.6942196,58.4259978,-1.32798,-1.13524,0.0131,0.0148,12.853,0.013,12.561,0.01
2874,156.9391629,58.6385936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.9391355,58.6385936,-0.05127,-0.21068,0.0153,0.0181,15.404000000000002,0.021,15.261,0.033
