upload_ID,upload_RA,upload_Dec,distance,ra,dec,jAperMag3,jAperMag3Err,ksAperMag3,ksAperMag3Err,yAperMag3,yAperMag3Err
3087,169.25221630000001,-81.0510993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3088,165.0877899,9.7813146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3089,164.9040969,-5.508198999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3090,165.0903498,46.639702899999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3091,165.78361130000002,15.2973503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3092,165.4368144,-13.8367587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3093,166.36201450000002,-13.2044943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3094,166.1464958,12.9623996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3095,165.9264265,36.5293902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3096,165.17927930000002,36.4076539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3097,166.8246806,40.836103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3098,165.5725353,41.2150502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3099,165.595502,45.6942403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3100,166.6780813,58.2057804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3101,164.9471168,56.9241505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3102,165.29688069999997,57.3877267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3103,166.9596052,-34.351254299999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3104,167.00151019999998,7.2712477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3105,166.5368786,28.5968284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3106,166.9279659,35.298452000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3107,165.50737230000001,35.059651099999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3108,165.6546251,-3.2363272999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3109,165.73950580000002,0.1287926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3111,165.7682372,3.7386767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3112,167.0327656,43.825312700000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3113,167.22286730000002,71.3756657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3114,166.1492615,26.2728031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3115,166.0373876,-51.5284301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3116,166.1289507,11.9701103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3117,167.8429377,-6.5364412000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3118,167.8418928,-6.538088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3119,165.98899550000002,58.7201853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3120,168.3625208,58.978620299999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3121,168.3644606,58.980583900000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3122,168.2032608,77.77849140000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
